Testing adventurer 10000 times...
Failure number 147: Adventure card failed (number of players = 2, handpos = 19, original deck count = 5 error number 2)
Failure number 148: Adventure card failed (number of players = 3, handpos = 1, original deck count = 16 error number 2)
Failure number 149: Adventure card failed (number of players = 2, handpos = 9, original deck count = 8 error number 2)
Failure number 150: Adventure card failed (number of players = 3, handpos = 14, original deck count = 3 error number 2)
Failure number 151: Adventure card failed (number of players = 3, handpos = 13, original deck count = 20 error number 2)
Failure number 152: Adventure card failed (number of players = 2, handpos = 0, original deck count = 0 error number 2)
Failure number 153: Adventure card failed (number of players = 2, handpos = 3, original deck count = 5 error number 2)
Failure number 154: Adventure card failed (number of players = 2, handpos = 0, original deck count = 3 error number 2)
Failure number 155: Adventure card failed (number of players = 2, handpos = 14, original deck count = 18 error number 2)
Failure number 156: Adventure card failed (number of players = 2, handpos = 9, original deck count = 6 error number 2)
Failure number 157: Adventure card failed (number of players = 3, handpos = 14, original deck count = 4 error number 2)
Failure number 158: Adventure card failed (number of players = 2, handpos = 16, original deck count = 7 error number 2)
Failure number 159: Adventure card failed (number of players = 2, handpos = 3, original deck count = 4 error number 2)
Failure number 160: Adventure card failed (number of players = 3, handpos = 1, original deck count = 5 error number 2)
Failure number 161: Adventure card failed (number of players = 2, handpos = 2, original deck count = 13 error number 2)
Failure number 162: Adventure card failed (number of players = 2, handpos = 9, original deck count = 9 error number 2)
Failure number 163: Adventure card failed (number of players = 2, handpos = 10, original deck count = 4 error number 2)
Failure number 164: Adventure card failed (number of players = 3, handpos = 0, original deck count = 0 error number 2)
Failure number 165: Adventure card failed (number of players = 2, handpos = 7, original deck count = 3 error number 2)
Failure number 166: Adventure card failed (number of players = 3, handpos = 8, original deck count = 1 error number 2)
Failure number 167: Adventure card failed (number of players = 2, handpos = 0, original deck count = 20 error number 2)
Failure number 168: Adventure card failed (number of players = 2, handpos = 16, original deck count = 4 error number 2)
Failure number 169: Adventure card failed (number of players = 3, handpos = 3, original deck count = 6 error number 2)
Failure number 170: Adventure card failed (number of players = 2, handpos = 4, original deck count = 7 error number 2)
Failure number 171: Adventure card failed (number of players = 3, handpos = 11, original deck count = 8 error number 2)
Failure number 172: Adventure card failed (number of players = 3, handpos = 1, original deck count = 8 error number 2)
Failure number 173: Adventure card failed (number of players = 2, handpos = 6, original deck count = 1 error number 2)
Failure number 174: Adventure card failed (number of players = 3, handpos = 1, original deck count = 12 error number 2)
Failure number 175: Adventure card failed (number of players = 2, handpos = 13, original deck count = 6 error number 2)
Failure number 176: Adventure card failed (number of players = 3, handpos = 0, original deck count = 1 error number 2)
Failure number 177: Adventure card failed (number of players = 3, handpos = 5, original deck count = 7 error number 2)
Failure number 178: Adventure card failed (number of players = 2, handpos = 2, original deck count = 13 error number 2)
Failure number 179: Adventure card failed (number of players = 3, handpos = 5, original deck count = 21 error number 2)
Failure number 180: Adventure card failed (number of players = 3, handpos = 8, original deck count = 6 error number 2)
Failure number 181: Adventure card failed (number of players = 2, handpos = 16, original deck count = 8 error number 2)
Failure number 182: Adventure card failed (number of players = 3, handpos = 16, original deck count = 7 error number 2)
Failure number 183: Adventure card failed (number of players = 2, handpos = 7, original deck count = 4 error number 2)
Failure number 184: Adventure card failed (number of players = 2, handpos = 10, original deck count = 12 error number 2)
Failure number 185: Adventure card failed (number of players = 2, handpos = 0, original deck count = 1 error number 2)
Failure number 186: Adventure card failed (number of players = 2, handpos = 6, original deck count = 22 error number 2)
Failure number 187: Adventure card failed (number of players = 2, handpos = 5, original deck count = 1 error number 2)
Failure number 188: Adventure card failed (number of players = 2, handpos = 3, original deck count = 10 error number 2)
Failure number 189: Adventure card failed (number of players = 2, handpos = 0, original deck count = 0 error number 2)
Failure number 190: Adventure card failed (number of players = 2, handpos = 6, original deck count = 23 error number 2)
Failure number 191: Adventure card failed (number of players = 2, handpos = 15, original deck count = 1 error number 2)
Failure number 192: Adventure card failed (number of players = 2, handpos = 0, original deck count = 3 error number 2)
Failure number 193: Adventure card failed (number of players = 2, handpos = 5, original deck count = 8 error number 2)
Failure number 194: Adventure card failed (number of players = 2, handpos = 2, original deck count = 13 error number 2)
Failure number 195: Adventure card failed (number of players = 2, handpos = 24, original deck count = 19 error number 2)
Failure number 196: Adventure card failed (number of players = 2, handpos = 0, original deck count = 14 error number 2)
Failure number 197: Adventure card failed (number of players = 3, handpos = 0, original deck count = 10 error number 2)
Failure number 198: Adventure card failed (number of players = 3, handpos = 0, original deck count = 19 error number 3)
Failure number 199: Adventure card failed (number of players = 2, handpos = 0, original deck count = 4 error number 2)
Failure number 200: Adventure card failed (number of players = 3, handpos = 5, original deck count = 4 error number 2)
Failure number 201: Adventure card failed (number of players = 3, handpos = 10, original deck count = 1 error number 2)
Failure number 202: Adventure card failed (number of players = 3, handpos = 4, original deck count = 10 error number 2)
Failure number 203: Adventure card failed (number of players = 3, handpos = 1, original deck count = 8 error number 2)
Failure number 204: Adventure card failed (number of players = 3, handpos = 3, original deck count = 10 error number 2)
Failure number 205: Adventure card failed (number of players = 3, handpos = 2, original deck count = 0 error number 2)
Failure number 206: Adventure card failed (number of players = 3, handpos = 16, original deck count = 4 error number 2)
Failure number 207: Adventure card failed (number of players = 2, handpos = 3, original deck count = 15 error number 2)
Failure number 208: Adventure card failed (number of players = 3, handpos = 0, original deck count = 18 error number 2)
Failure number 209: Adventure card failed (number of players = 2, handpos = 5, original deck count = 13 error number 2)
Failure number 210: Adventure card failed (number of players = 3, handpos = 14, original deck count = 22 error number 2)
Failure number 211: Adventure card failed (number of players = 2, handpos = 12, original deck count = 19 error number 2)
Failure number 212: Adventure card failed (number of players = 3, handpos = 20, original deck count = 20 error number 2)
Failure number 213: Adventure card failed (number of players = 3, handpos = 2, original deck count = 8 error number 2)
Failure number 214: Adventure card failed (number of players = 3, handpos = 0, original deck count = 0 error number 3)
Failure number 215: Adventure card failed (number of players = 3, handpos = 1, original deck count = 1 error number 2)
Failure number 216: Adventure card failed (number of players = 2, handpos = 10, original deck count = 4 error number 2)
Failure number 217: Adventure card failed (number of players = 3, handpos = 0, original deck count = 8 error number 2)
Failure number 218: Adventure card failed (number of players = 3, handpos = 1, original deck count = 6 error number 2)
Failure number 219: Adventure card failed (number of players = 2, handpos = 4, original deck count = 18 error number 2)
Failure number 220: Adventure card failed (number of players = 3, handpos = 5, original deck count = 17 error number 2)
Failure number 221: Adventure card failed (number of players = 2, handpos = 5, original deck count = 17 error number 2)
Failure number 222: Adventure card failed (number of players = 3, handpos = 3, original deck count = 0 error number 3)
Failure number 223: Adventure card failed (number of players = 3, handpos = 8, original deck count = 11 error number 2)
Failure number 224: Adventure card failed (number of players = 3, handpos = 4, original deck count = 8 error number 2)
Failure number 225: Adventure card failed (number of players = 2, handpos = 0, original deck count = 5 error number 2)
Failure number 226: Adventure card failed (number of players = 3, handpos = 6, original deck count = 3 error number 2)
Failure number 227: Adventure card failed (number of players = 2, handpos = 6, original deck count = 3 error number 2)
Failure number 228: Adventure card failed (number of players = 3, handpos = 0, original deck count = 8 error number 2)
Failure number 229: Adventure card failed (number of players = 3, handpos = 2, original deck count = 13 error number 2)
Failure number 230: Adventure card failed (number of players = 2, handpos = 9, original deck count = 15 error number 3)
Failure number 231: Adventure card failed (number of players = 3, handpos = 10, original deck count = 4 error number 2)
Failure number 232: Adventure card failed (number of players = 2, handpos = 2, original deck count = 2 error number 2)
Failure number 233: Adventure card failed (number of players = 3, handpos = 13, original deck count = 10 error number 2)
Failure number 234: Adventure card failed (number of players = 3, handpos = 1, original deck count = 12 error number 2)
Failure number 235: Adventure card failed (number of players = 3, handpos = 4, original deck count = 1 error number 2)
Failure number 236: Adventure card failed (number of players = 2, handpos = 1, original deck count = 10 error number 2)
Failure number 237: Adventure card failed (number of players = 3, handpos = 18, original deck count = 25 error number 2)
Failure number 238: Adventure card failed (number of players = 3, handpos = 1, original deck count = 0 error number 2)
Failure number 239: Adventure card failed (number of players = 2, handpos = 4, original deck count = 17 error number 2)
Failure number 240: Adventure card failed (number of players = 3, handpos = 7, original deck count = 4 error number 2)
Failure number 241: Adventure card failed (number of players = 2, handpos = 10, original deck count = 24 error number 2)
Failure number 242: Adventure card failed (number of players = 2, handpos = 4, original deck count = 1 error number 2)
Failure number 243: Adventure card failed (number of players = 2, handpos = 10, original deck count = 16 error number 2)
Failure number 244: Adventure card failed (number of players = 2, handpos = 13, original deck count = 0 error number 2)
Failure number 245: Adventure card failed (number of players = 3, handpos = 0, original deck count = 7 error number 2)
Failure number 246: Adventure card failed (number of players = 2, handpos = 6, original deck count = 2 error number 2)
Failure number 247: Adventure card failed (number of players = 3, handpos = 8, original deck count = 7 error number 2)
Failure number 248: Adventure card failed (number of players = 3, handpos = 0, original deck count = 6 error number 2)
Failure number 249: Adventure card failed (number of players = 2, handpos = 2, original deck count = 0 error number 2)
Failure number 250: Adventure card failed (number of players = 3, handpos = 18, original deck count = 2 error number 2)
Failure number 251: Adventure card failed (number of players = 3, handpos = 16, original deck count = 5 error number 2)
Failure number 252: Adventure card failed (number of players = 2, handpos = 8, original deck count = 4 error number 2)
Failure number 253: Adventure card failed (number of players = 2, handpos = 7, original deck count = 5 error number 2)
Failure number 254: Adventure card failed (number of players = 3, handpos = 2, original deck count = 1 error number 2)
Failure number 255: Adventure card failed (number of players = 2, handpos = 0, original deck count = 15 error number 3)
Failure number 256: Adventure card failed (number of players = 3, handpos = 6, original deck count = 8 error number 2)
Failure number 257: Adventure card failed (number of players = 2, handpos = 16, original deck count = 3 error number 2)
Failure number 258: Adventure card failed (number of players = 3, handpos = 1, original deck count = 14 error number 2)
Failure number 259: Adventure card failed (number of players = 3, handpos = 19, original deck count = 8 error number 2)
Failure number 260: Adventure card failed (number of players = 2, handpos = 2, original deck count = 3 error number 2)
Failure number 261: Adventure card failed (number of players = 3, handpos = 15, original deck count = 15 error number 2)
Failure number 262: Adventure card failed (number of players = 2, handpos = 13, original deck count = 22 error number 2)
Failure number 263: Adventure card failed (number of players = 2, handpos = 12, original deck count = 1 error number 2)
Failure number 264: Adventure card failed (number of players = 3, handpos = 24, original deck count = 6 error number 2)
Failure number 265: Adventure card failed (number of players = 2, handpos = 6, original deck count = 9 error number 2)
Failure number 266: Adventure card failed (number of players = 2, handpos = 0, original deck count = 7 error number 2)
Failure number 267: Adventure card failed (number of players = 3, handpos = 6, original deck count = 20 error number 2)
Failure number 268: Adventure card failed (number of players = 3, handpos = 0, original deck count = 13 error number 2)
Failure number 269: Adventure card failed (number of players = 2, handpos = 2, original deck count = 3 error number 2)
Failure number 270: Adventure card failed (number of players = 3, handpos = 16, original deck count = 2 error number 2)
Failure number 271: Adventure card failed (number of players = 2, handpos = 7, original deck count = 5 error number 2)
Failure number 272: Adventure card failed (number of players = 3, handpos = 10, original deck count = 7 error number 2)
Failure number 273: Adventure card failed (number of players = 2, handpos = 19, original deck count = 3 error number 2)
Failure number 274: Adventure card failed (number of players = 3, handpos = 15, original deck count = 19 error number 2)
Failure number 275: Adventure card failed (number of players = 2, handpos = 3, original deck count = 7 error number 2)
Failure number 276: Adventure card failed (number of players = 2, handpos = 2, original deck count = 10 error number 2)
Failure number 277: Adventure card failed (number of players = 2, handpos = 9, original deck count = 4 error number 2)
Failure number 278: Adventure card failed (number of players = 2, handpos = 4, original deck count = 16 error number 2)
Failure number 279: Adventure card failed (number of players = 3, handpos = 7, original deck count = 8 error number 2)
Failure number 280: Adventure card failed (number of players = 3, handpos = 3, original deck count = 16 error number 2)
Failure number 281: Adventure card failed (number of players = 3, handpos = 17, original deck count = 5 error number 2)
Failure number 282: Adventure card failed (number of players = 2, handpos = 2, original deck count = 2 error number 2)
Failure number 283: Adventure card failed (number of players = 2, handpos = 6, original deck count = 0 error number 2)
Failure number 284: Adventure card failed (number of players = 3, handpos = 1, original deck count = 2 error number 2)
Failure number 285: Adventure card failed (number of players = 3, handpos = 2, original deck count = 1 error number 2)
Failure number 286: Adventure card failed (number of players = 2, handpos = 7, original deck count = 8 error number 2)
Failure number 287: Adventure card failed (number of players = 2, handpos = 12, original deck count = 3 error number 3)
Failure number 288: Adventure card failed (number of players = 3, handpos = 11, original deck count = 14 error number 3)
Failure number 289: Adventure card failed (number of players = 3, handpos = 0, original deck count = 3 error number 2)
Failure number 290: Adventure card failed (number of players = 2, handpos = 0, original deck count = 20 error number 2)
Failure number 291: Adventure card failed (number of players = 3, handpos = 0, original deck count = 7 error number 2)
Failure number 292: Adventure card failed (number of players = 3, handpos = 2, original deck count = 11 error number 2)
Failure number 293: Adventure card failed (number of players = 2, handpos = 6, original deck count = 15 error number 2)
Failure number 294: Adventure card failed (number of players = 2, handpos = 0, original deck count = 8 error number 2)
Failure number 295: Adventure card failed (number of players = 3, handpos = 1, original deck count = 2 error number 2)
Failure number 296: Adventure card failed (number of players = 3, handpos = 3, original deck count = 4 error number 2)
Failure number 297: Adventure card failed (number of players = 2, handpos = 1, original deck count = 2 error number 2)
Failure number 298: Adventure card failed (number of players = 3, handpos = 5, original deck count = 10 error number 2)
